Date,Pair1,Pair2,Correlation,TopQuantileCorr1,TopQuantileCorr2,LowBoundCorr,TopQuantileCorrAllClusters,GIC_sector
2010-01-04,LEN,PHM,0.8099828403945414,0.5984648416852398,0.5629551983322449,0.5831272672893382,0.7932281141590317,Consumer Discretionary
2010-01-04,EQT,WMB,0.8117234232448864,0.7792433018277571,0.7783247172954747,0.8069543979532752,0.7932281141590317,Energy
2010-01-04,HAL,SLB,0.8227988224799556,0.773234761472639,0.8079446744861927,0.8069543979532752,0.7932281141590317,Energy
2010-01-04,AFL,MET,0.806210875641359,0.7166316594993307,0.7445250606503252,0.7288903254241882,0.7932281141590317,Financials
2010-01-04,HIG,PRU,0.8211415746338352,0.7216843460778068,0.7288903254241882,0.7288903254241882,0.7932281141590317,Financials
2010-01-04,MET,PFG,0.7980183173750924,0.7445250606503252,0.728438219292686,0.7288903254241882,0.7932281141590317,Financials
2010-01-04,MET,PRU,0.7969042557675473,0.7445250606503252,0.7288903254241882,0.7288903254241882,0.7932281141590317,Financials
2010-01-04,PFG,PRU,0.8233721906904178,0.728438219292686,0.7288903254241882,0.7288903254241882,0.7932281141590317,Financials
2010-01-04,CSX,NSC,0.7978514800038479,0.5358590461938909,0.4830285549452474,0.629659749709949,0.7932281141590317,Industrials
2010-01-04,KLAC,LRCX,0.7968486011284289,0.6436760651944856,0.6272325824227291,0.6367063566729882,0.7932281141590317,Information Technology
2010-01-04,AVB,EQR,0.8823077214743795,0.8613080173021632,0.8813355393169839,0.8696857593783119,0.7932281141590317,Real Estate
2010-01-04,BXP,EQR,0.881092493777635,0.8696857593783119,0.8813355393169839,0.8696857593783119,0.7932281141590317,Real Estate
2010-01-04,BXP,SPG,0.9089218322212181,0.8696857593783119,0.864484130020482,0.8696857593783119,0.7932281141590317,Real Estate
2010-01-04,DOC,VTR,0.8752032694662853,0.8485630874045709,0.8312114073366517,0.8696857593783119,0.7932281141590317,Real Estate
2010-01-04,EQR,SPG,0.882714639370075,0.8813355393169839,0.864484130020482,0.8696857593783119,0.7932281141590317,Real Estate
2010-01-11,LEN,PHM,0.8017916223288967,0.5586510686949606,0.5345494448765629,0.5725805101095534,0.7840552206700928,Consumer Discretionary
2010-01-11,LVS,WYNN,0.8051326323632043,0.5234385287905629,0.5497026785520019,0.5725805101095534,0.7840552206700928,Consumer Discretionary
2010-01-11,EQT,WMB,0.7937158856575418,0.769911411782885,0.7897718227098969,0.7936467478997115,0.7840552206700928,Energy
2010-01-11,HAL,SLB,0.8209066554139081,0.7710440684345942,0.804177367013106,0.7936467478997115,0.7840552206700928,Energy
2010-01-11,AFL,MET,0.7979249915268273,0.7033586424007006,0.7300306500492968,0.7149492133448322,0.7840552206700928,Financials
2010-01-11,HIG,PRU,0.8078356258923022,0.7026144189884654,0.7215467440856898,0.7149492133448322,0.7840552206700928,Financials
2010-01-11,MET,PFG,0.7871463982228695,0.7300306500492968,0.711436836183517,0.7149492133448322,0.7840552206700928,Financials
2010-01-11,MET,PRU,0.7877171188043335,0.7300306500492968,0.7215467440856898,0.7149492133448322,0.7840552206700928,Financials
2010-01-11,PFG,PRU,0.8128295028542356,0.711436836183517,0.7215467440856898,0.7149492133448322,0.7840552206700928,Financials
2010-01-11,DAL,UAL,0.793846518895094,0.40753188532162665,0.40529167168406566,0.6096711795011238,0.7840552206700928,Industrials
2010-01-11,KLAC,LRCX,0.7847558061270636,0.6370743605156055,0.6288982153686967,0.6370743605156055,0.7840552206700928,Information Technology
2010-01-11,BXP,EQR,0.8773909460596208,0.868988636251623,0.8687953837710374,0.868988636251623,0.7840552206700928,Real Estate
2010-01-11,BXP,SPG,0.9028542894756242,0.868988636251623,0.8549897377868108,0.868988636251623,0.7840552206700928,Real Estate
2010-01-11,DOC,VTR,0.8737899575960691,0.8431296893805085,0.8208831768773388,0.868988636251623,0.7840552206700928,Real Estate
2010-01-11,EQR,SPG,0.8720880424201614,0.8687953837710374,0.8549897377868108,0.868988636251623,0.7840552206700928,Real Estate
2010-01-19,LEN,PHM,0.7982057133317008,0.5431175804542802,0.5303420207708187,0.5490962766570977,0.7598687884352074,Consumer Discretionary
2010-01-19,LVS,WYNN,0.7882414230421267,0.49428235729315906,0.5135327606277399,0.5490962766570977,0.7598687884352074,Consumer Discretionary
2010-01-19,APA,SLB,0.7724943976738855,0.7528904965850742,0.7880116504985374,0.7702796060028193,0.7598687884352074,Energy
2010-01-19,HAL,SLB,0.8112875297355151,0.7494545447447866,0.7880116504985374,0.7702796060028193,0.7598687884352074,Energy
2010-01-19,AFL,MET,0.7881005704562994,0.6829385166409306,0.7020025524403785,0.6939956560632378,0.7598687884352074,Financials
2010-01-19,BAC,JPM,0.7599631634900619,0.6492835359690621,0.6770929832808503,0.6939956560632378,0.7598687884352074,Financials
2010-01-19,GL,MET,0.7651364150611865,0.6909444870048664,0.7020025524403785,0.6939956560632378,0.7598687884352074,Financials
2010-01-19,HIG,PRU,0.7909164873553657,0.6900107076977615,0.7052631180705576,0.6939956560632378,0.7598687884352074,Financials
2010-01-19,MET,PFG,0.7624697491700315,0.7020025524403785,0.6939956560632378,0.6939956560632378,0.7598687884352074,Financials
2010-01-19,MET,PRU,0.7601240319338375,0.7020025524403785,0.7052631180705576,0.6939956560632378,0.7598687884352074,Financials
2010-01-19,PFG,PRU,0.7981440898865417,0.6939956560632378,0.7052631180705576,0.6939956560632378,0.7598687884352074,Financials
2010-01-19,DAL,UAL,0.7787809589229262,0.3671437703116692,0.3657594443695518,0.5718033371488429,0.7598687884352074,Industrials
