Date,Pair1,Pair2,Correlation,TopQuantileCorr1,TopQuantileCorr2,LowBoundCorr,TopQuantileCorrAllClusters,GIC_sector
2010-01-04,LEN,PHM,0.8110488454254537,0.5988531848614008,0.5581746171703077,0.5988531848614008,0.7978575803231698,Consumer Discretionary
2010-01-04,LVS,WYNN,0.8069465819592848,0.5409960189706338,0.5412423795903282,0.5988531848614008,0.7978575803231698,Consumer Discretionary
2010-01-04,EQT,WMB,0.8054209680324473,0.7790792222043794,0.7915972640605338,0.7983320655969389,0.7978575803231698,Energy
2010-01-04,HAL,SLB,0.825505458862015,0.7792200711936621,0.808138087537643,0.7983320655969389,0.7978575803231698,Energy
2010-01-04,AFL,MET,0.8086762758871048,0.7122307435679824,0.748077177571965,0.730031903710282,0.7978575803231698,Financials
2010-01-04,HIG,PRU,0.8216118360908323,0.719919315083477,0.7363919941743338,0.730031903710282,0.7978575803231698,Financials
2010-01-04,MET,PRU,0.800087955139555,0.748077177571965,0.7363919941743338,0.730031903710282,0.7978575803231698,Financials
2010-01-04,PFG,PRU,0.8218427162048024,0.7243562038055722,0.7363919941743338,0.730031903710282,0.7978575803231698,Financials
2010-01-04,CSX,NSC,0.8137673705502901,0.5548326010800626,0.5084520485728148,0.6518141206176329,0.7978575803231698,Industrials
2010-01-04,DAL,UAL,0.8081475269714125,0.44792411072434657,0.44808339936858715,0.6518141206176329,0.7978575803231698,Industrials
2010-01-04,KLAC,LRCX,0.7990601138780542,0.641998198966146,0.6360548516494029,0.641998198966146,0.7978575803231698,Information Technology
2010-01-04,BXP,EQR,0.8816052749982881,0.8720090969858723,0.872533355294853,0.8720090969858723,0.7978575803231698,Real Estate
2010-01-04,BXP,SPG,0.9096809040121886,0.8720090969858723,0.8629620213053325,0.8720090969858723,0.7978575803231698,Real Estate
2010-01-04,DOC,VTR,0.8782553492887785,0.8529918715373714,0.8319382645746767,0.8720090969858723,0.7978575803231698,Real Estate
2010-01-04,EQR,SPG,0.8757262924113751,0.872533355294853,0.8629620213053325,0.8720090969858723,0.7978575803231698,Real Estate
2010-01-11,LEN,PHM,0.8194694288530927,0.5514876018675523,0.5457315005418782,0.5684185941577704,0.7827337084273903,Consumer Discretionary
2010-01-11,LVS,WYNN,0.7984239377557647,0.5093707500785201,0.5133647417742562,0.5684185941577704,0.7827337084273903,Consumer Discretionary
2010-01-11,EQT,WMB,0.7837932986530997,0.7598718093334615,0.7749341983253237,0.782907388620322,0.7827337084273903,Energy
2010-01-11,HAL,SLB,0.810255430462373,0.7531709557402378,0.7871980448549397,0.782907388620322,0.7827337084273903,Energy
2010-01-11,AFL,MET,0.8063732879486486,0.7028573982037263,0.7289656435025481,0.7110748255428848,0.7827337084273903,Financials
2010-01-11,GL,MET,0.785736252982683,0.7079452497863695,0.7289656435025481,0.7110748255428848,0.7827337084273903,Financials
2010-01-11,HIG,PRU,0.808219757019948,0.7110748255428848,0.7252296049424013,0.7110748255428848,0.7827337084273903,Financials
2010-01-11,MET,PRU,0.7829859688428271,0.7289656435025481,0.7252296049424013,0.7110748255428848,0.7827337084273903,Financials
2010-01-11,PFG,PRU,0.8066895138928944,0.7057357778194965,0.7252296049424013,0.7110748255428848,0.7827337084273903,Financials
2010-01-11,CSX,NSC,0.7988719989882109,0.5094911488153081,0.4461270038473901,0.6011996416696176,0.7827337084273903,Industrials
2010-01-11,DAL,UAL,0.7908430047689011,0.38191467628383047,0.3871192591147327,0.6011996416696176,0.7827337084273903,Industrials
2010-01-11,KLAC,LRCX,0.7836142490935802,0.6264522498630352,0.6206740640392397,0.6264522498630352,0.7827337084273903,Information Technology
2010-01-11,BXP,EQR,0.8730716881819091,0.862554682263522,0.8632165043575319,0.862554682263522,0.7827337084273903,Real Estate
2010-01-11,BXP,SPG,0.8951024453276628,0.862554682263522,0.846916199688,0.862554682263522,0.7827337084273903,Real Estate
2010-01-11,DOC,VTR,0.8671701331813663,0.8422711844564982,0.814258719079556,0.862554682263522,0.7827337084273903,Real Estate
2010-01-11,EQR,SPG,0.8704498994023033,0.8632165043575319,0.846916199688,0.862554682263522,0.7827337084273903,Real Estate
