Date,Pair1,Pair2,Correlation,TopQuantileCorr1,TopQuantileCorr2,LowBoundCorr,TopQuantileCorrAllClusters,GIC_sector
2010-01-04,LEN,PHM,0.8164622723420739,0.5822567098998119,0.5515754488330347,0.5822567098998119,0.7876024047792334,Consumer Discretionary
2010-01-04,LVS,WYNN,0.8021703607166181,0.524843807915891,0.5124848985043929,0.5822567098998119,0.7876024047792334,Consumer Discretionary
2010-01-04,EQT,WMB,0.7914237464486362,0.7653143229253924,0.7763810479402901,0.7894333665636786,0.7876024047792334,Energy
2010-01-04,HAL,SLB,0.8121160786083611,0.7599319592557916,0.7982078943988079,0.7894333665636786,0.7876024047792334,Energy
2010-01-04,AFL,MET,0.8124232091516571,0.7101391979120336,0.7297620451166814,0.7238569538174082,0.7876024047792334,Financials
2010-01-04,GL,MET,0.7876048209276311,0.7127643266330979,0.7297620451166814,0.7238569538174082,0.7876024047792334,Financials
2010-01-04,HIG,PRU,0.8150280545401563,0.7238569538174082,0.7254699417400529,0.7238569538174082,0.7876024047792334,Financials
2010-01-04,PFG,PRU,0.8160642942354787,0.7129155746383321,0.7254699417400529,0.7238569538174082,0.7876024047792334,Financials
2010-01-04,CSX,NSC,0.7944443092167135,0.5373532876011844,0.45490197522117887,0.6230535083079504,0.7876024047792334,Industrials
2010-01-04,DAL,UAL,0.793155854607203,0.4085281643517315,0.4187233824117528,0.6230535083079504,0.7876024047792334,Industrials
2010-01-04,KLAC,LRCX,0.7891326484433286,0.6285154223566455,0.6204760739651299,0.6285154223566455,0.7876024047792334,Information Technology
2010-01-04,AVB,EQR,0.8654374619910412,0.846760568805527,0.8667692370008353,0.8625253496921276,0.7876024047792334,Real Estate
2010-01-04,BXP,EQR,0.8770552803312044,0.8625253496921276,0.8667692370008353,0.8625253496921276,0.7876024047792334,Real Estate
2010-01-04,BXP,SPG,0.9043897076970869,0.8625253496921276,0.8516824490358362,0.8625253496921276,0.7876024047792334,Real Estate
2010-01-04,DOC,VTR,0.8728722881347354,0.8520239984524018,0.822210237332635,0.8625253496921276,0.7876024047792334,Real Estate
2010-01-04,EQR,SPG,0.8720963370400117,0.8667692370008353,0.8516824490358362,0.8625253496921276,0.7876024047792334,Real Estate
2010-01-11,LEN,PHM,0.8051172972120011,0.5272233930439043,0.5204770233171444,0.5403472710819337,0.7664226493611597,Consumer Discretionary
2010-01-11,LVS,MGM,0.7715070720883299,0.49900252303738735,0.510969564661957,0.5403472710819337,0.7664226493611597,Consumer Discretionary
2010-01-11,LVS,WYNN,0.8042698006111298,0.49900252303738735,0.4943205274847359,0.5403472710819337,0.7664226493611597,Consumer Discretionary
2010-01-11,MGM,WYNN,0.7820389366206041,0.510969564661957,0.4943205274847359,0.5403472710819337,0.7664226493611597,Consumer Discretionary
2010-01-11,EQT,WMB,0.7773515737591467,0.7532727315411042,0.7683466126488466,0.7770662388832634,0.7664226493611597,Energy
2010-01-11,HAL,SLB,0.8125889665165726,0.7576619967656084,0.7854980006475576,0.7770662388832634,0.7664226493611597,Energy
2010-01-11,AFL,MET,0.7867917397463626,0.6860122645761597,0.7122805144291058,0.6957907860606543,0.7664226493611597,Financials
2010-01-11,HIG,PRU,0.7923029271606095,0.6957907860606543,0.7103243082537144,0.6957907860606543,0.7664226493611597,Financials
2010-01-11,MET,PFG,0.7668944978604529,0.7122805144291058,0.6922526332451754,0.6957907860606543,0.7664226493611597,Financials
2010-01-11,PFG,PRU,0.8016290061236395,0.6922526332451754,0.7103243082537144,0.6957907860606543,0.7664226493611597,Financials
2010-01-11,CSX,NSC,0.7958372798197995,0.5133228704627806,0.4438983787074101,0.5995926959055246,0.7664226493611597,Industrials
2010-01-11,DAL,UAL,0.7836987489554698,0.3635768452743005,0.36892301237880554,0.5995926959055246,0.7664226493611597,Industrials
2010-01-11,KLAC,LRCX,0.7798932685193062,0.6224191136373857,0.6241947313991258,0.6247296521770135,0.7664226493611597,Information Technology
2010-01-11,AVB,EQR,0.8552915618445461,0.8410354347074607,0.8575792709476969,0.8549898675346006,0.7664226493611597,Real Estate
2010-01-11,BXP,EQR,0.870721615948216,0.8523061162805894,0.8575792709476969,0.8549898675346006,0.7664226493611597,Real Estate
2010-01-11,BXP,SPG,0.891958185543896,0.8523061162805894,0.8390925513929349,0.8549898675346006,0.7664226493611597,Real Estate
2010-01-11,EQR,SPG,0.8667301073602999,0.8575792709476969,0.8390925513929349,0.8549898675346006,0.7664226493611597,Real Estate
2010-01-19,LEN,PHM,0.8017323219711123,0.5403179871334199,0.53325905377176,0.5439406112291034,0.7729941330914187,Consumer Discretionary
2010-01-19,LVS,MGM,0.8049730948672544,0.49343355804146705,0.48821781360672467,0.5439406112291034,0.7729941330914187,Consumer Discretionary
2010-01-19,LVS,WYNN,0.8055914253276849,0.49343355804146705,0.501378824336351,0.5439406112291034,0.7729941330914187,Consumer Discretionary
2010-01-19,MGM,WYNN,0.7781063059117083,0.48821781360672467,0.501378824336351,0.5439406112291034,0.7729941330914187,Consumer Discretionary
2010-01-19,APA,SLB,0.776663069977718,0.7490407224712036,0.7923230707408779,0.7753928186132657,0.7729941330914187,Energy
2010-01-19,HAL,SLB,0.8158130718856178,0.7615595625744839,0.7923230707408779,0.7753928186132657,0.7729941330914187,Energy
2010-01-19,AFL,MET,0.7995186808347499,0.7022889082129967,0.7064066596451283,0.7064066596451283,0.7729941330914187,Financials
2010-01-19,GL,MET,0.7791532067309993,0.7036856752397955,0.7064066596451283,0.7064066596451283,0.7729941330914187,Financials
